id,title,date,url
CARAVAN-7958,"How the Gujarat government backed out of its promise to doctors on COVID-19 duty",2021-09-24T05:12:37.397Z,https://caravanmagazine.in/health/how-the-gujarat-government-backed-out-of-its-promise-to-doctors-on-covid19-duty
CARAVAN-7954,"Like Icarus, are we flying too close to the sun with a DNA vaccine against COVID-19?",2021-09-20T10:03:27.485Z,https://caravanmagazine.in/health/the-little-discussed-risks-of-dna-vaccines-against-covid19
CARAVAN-7945,"The Indian government used the pandemic to craft a political image and failed to save lives",2021-09-14T13:18:28.197Z,https://caravanmagazine.in/health/the-indian-government-used-the-pandemic-to-craft-a-political-image
CARAVAN-7899,"India did not have a vaccination hesitancy crisis till the government mismanaged COVID-19",2021-08-20T11:11:35.723Z,https://caravanmagazine.in/health/india-did-not-have-a-vaccine-hesitancy-crisis-till-the-government-mismanaged-covid19
CARAVAN-7898,"UP government’s unreasonable rules deny compensation for poll officials who died of COVID-19",2021-08-19T04:34:12.981Z,https://caravanmagazine.in/health/up-governments-unreasonable-rules-deny-compensation-for-poll-officials-who-died-of-covid19
CARAVAN-7884,"Citizens collect data as government obscures oxygen shortage deaths based on technicalities",2021-08-06T12:57:42.659Z,https://caravanmagazine.in/health/citizens-collect-data-as-government-obscures-oxygen-shortage-deaths-based-on-technicalities
CARAVAN-7868,"Healthcare efforts fighting the COVID-19 crisis in rural India",2021-07-31T18:30:00.000Z,https://caravanmagazine.in/health/battling-the-wave
CARAVAN-7849,"Looking after my ill mother as health services became tough to access during the pandemic",2021-07-29T13:31:07.619Z,https://caravanmagazine.in/health/looking-after-my-ill-mother-during-the-pandemic
CARAVAN-7756,"COVID-19, steroids and diabetes—why mucormycosis is now a deadly epidemic in India",2021-06-19T11:35:24.284Z,https://caravanmagazine.in/health/why-mucormycosis-is-now-a-deadly-epidemic-in-india
CARAVAN-7748,"Contract health workers in Pune hired for COVID-19 duty fight a recruitment company for their salaries",2021-06-18T03:36:55.611Z,https://caravanmagazine.in/health/contract-covid19-workers-in-pune-fight-for-their-salaries
CARAVAN-7740,"“Every day I was in fear”: How the lives of UP’s teachers were risked for an election",2021-06-14T05:20:31.649Z,https://caravanmagazine.in/health/how-the-lives-of-up-teachers-were-risked-for-an-election
CARAVAN-7699,"An old mistrust of government keeps Jharkhand’s Adivasis away from COVID-19 vaccines",2021-05-30T11:09:04.740Z,https://caravanmagazine.in/health/an-old-mistrust-of-government-keeps-jharkhands-adivasis-away-from-covid19-vaccines
CARAVAN-7695,"10 questions on COVID-19 management that the Narendra Modi government must answer ",2021-05-28T16:17:55.865Z,https://caravanmagazine.in/health/ten-questions-on-covid91-management-that-the-narendra-modi-government-must-answer
CARAVAN-7671,"Scientific uncertainties, weak institutions, and nationalism led to COVID-19 devastation",2021-05-14T07:46:26.720Z,https://caravanmagazine.in/health/scientific-uncertainties-wea-institutions-and-nationalis-led-to-covid19-devastation
CARAVAN-7659,"Pharma companies driving policy led to vaccine apartheid: Mohga Kamal-Yanni",2021-05-09T03:39:15.704Z,https://caravanmagazine.in/health/pharma-companies-driving-policy-led-to-vaccine-apartheid-mohga-kamal-yanni
CARAVAN-7647,"Fighting a forest fire with sprinklers: Bengaluru’s escalating COVID-19 crisis",2021-05-02T05:14:27.109Z,https://caravanmagazine.in/health/bengalurus-escalating-covid19-crisis
CARAVAN-7627,"How Gujarat is undercounting its COVID-19 deaths",2021-04-29T04:34:37.708Z,https://caravanmagazine.in/health/how-gujarat-is-undercounting-its-covid19-deaths
CARAVAN-7608,"COVID-19 patients struggle to get into Ahmedabad hospitals even as bodies keep coming out",2021-04-24T16:08:27.260Z,https://caravanmagazine.in/health/covid19-patients-struggle-to-get-into-ahmedabad-hospitals
CARAVAN-7594,"Three hours in an understaffed Bharuch hospital with dying COVID-19 patients",2021-04-17T17:27:54.489Z,https://caravanmagazine.in/health/three-hours-in-an-understaffed-bharuch-hospital-with-dying-covid19-patients
CARAVAN-7571,"From hospitals to crematoriums, Surat is overwhelmed by the second COVID-19 wave",2021-04-15T10:06:24.177Z,https://caravanmagazine.in/health/from-hospitals-to-crematoriums-surat-is-overwhelmed-by-the-second-covid-19-wave
CARAVAN-7444,"Questionable recruitment practices in Zydus Cadila’s COVID-19 vaccine trial",2021-03-05T08:17:29.428Z,https://caravanmagazine.in/health/questionable-recruitment-practices-in-zydus-cadilas-covid19-vaccine-trial
CARAVAN-7438,"Polio was seeing a global resurgence. The COVID-19 pandemic may have helped it along",2021-03-02T15:43:18.388Z,https://caravanmagazine.in/health/the-pandemic-might-have-helped-a-global-polio-resurgence
CARAVAN-7399,"COVID-19: Is the post-vaccination surveillance system working for the mega vaccine drive?",2021-02-24T11:16:48.317Z,https://caravanmagazine.in/health/is-the-post-vaccination-surveillance-system-working-for-the-mega-covid-19-vaccine-drive
CARAVAN-7397,"COVID-19: Is our pre-vaccination screening good enough to catch infections and comorbidities?",2021-02-23T16:00:39.597Z,https://caravanmagazine.in/health/is-covid19-vaccination-screening-good-enough-to-catch-infections-and-comorbidities
CARAVAN-7370,"Bringing superheroes into the fight against COVID-19 misinformation",2021-02-11T04:32:51.233Z,https://caravanmagazine.in/health/superheroes-in-the-fight-against-covid19-misinformation
CARAVAN-7273,"In Bhopal, Covaxin trial volunteers allege irregularities in recruitment and treatment",2021-01-05T15:19:50.953Z,https://caravanmagazine.in/health/in-bhopal-covaxin-trial-volunteers-allege-irregularities-in-recruitment-and-treatment
CARAVAN-7248,"In 2020, health workers counted their COVID-19 casualties because the government did not ",2020-12-30T15:43:06.414Z,https://caravanmagazine.in/health/health-workers-counted-their-covid19-casualties-because-the-government-did-not
CARAVAN-7228,"Studies show plasma does not help COVID-19 patients but doctors still prescribe it ",2020-12-29T05:55:47.049Z,https://caravanmagazine.in/health/studies-show-plasma-does-not-help-covid19-patients-but-doctors-still-prescribe-it
CARAVAN-7197,"Will the government link Aadhaar to COVID-19 vaccination? More importantly, should it?",2020-12-16T10:43:04.715Z,https://caravanmagazine.in/health/will-the-government-link-aadhaar-to-covid19-vaccination
CARAVAN-7182,"Delhi’s systems are sinking under the third COVID-19 wave, resident experiences show",2020-12-09T12:28:37.897Z,https://caravanmagazine.in/health/delhi-systems-are-sinking-under-the-third-covid19-wave
CARAVAN-7090,"The anxieties that accompany being a COVID-19 vaccine trial subject",2020-11-03T04:25:34.104Z,https://caravanmagazine.in/health/the-anxieties-that-accompany-being-a-covid-19-vaccine-trial-subject
CARAVAN-6913,"UP adds ivermectin to its COVID-19 protocols without evidence that the drug works",2020-09-03T12:35:38.248Z,https://caravanmagazine.in/health/uttar-pradesh-adds-ivermectin-to-covid-19-protocols-without-evidence-that-the-drug-works
CARAVAN-6906,"How India exploits health workers",2020-08-31T08:00:59.000Z,https://caravanmagazine.in/health/how-india-exploits-health-workers
CARAVAN-6750,"Bhima Koregaon inmates can barely communicate, worried about their health: Families",2020-07-12T13:30:00.000Z,https://caravanmagazine.in//politics/bhima-koregaon-inmates-can-barely-communicate-worried-about-their-health-families
CARAVAN-6653,"COVID-19: In Mumbai, hospitals turn away patients; real-time tracking of beds ineffective",2020-05-31T13:25:19.632Z,https://caravanmagazine.in/health/mumbai-hospitals-turn-away-covid-suspects
CARAVAN-6609,"How India is outsourcing the COVID-19 pandemic to its poor ",2020-05-10T11:42:12.914Z,https://caravanmagazine.in/health/india-outsourcing-covid-pandemic-to-poor
CARAVAN-6597,"In urban areas, lockdown leaves members of queer community stuck with emotionally abusive families ",2020-05-08T11:06:00.000Z,https://caravanmagazine.in//gender/urban-areas-queer-people-stuck-with-emotionally-abusive-families-coronavirus-lockdown
CARAVAN-6577,"After its first COVID-19 death, Meghalaya grapples with the health crisis",2020-04-27T12:13:31.822Z,https://caravanmagazine.in/health/meghalaya-first-covid-death-sailo
CARAVAN-6564,"Jammu’s premier government hospital struggles to procure PPE for COVID-19; health workers in fear",2020-04-27T08:22:00.000Z,https://caravanmagazine.in/health/government-hospital-jammu-struggles-to-procure-ppe-for-covid-health-workers-in-fear
CARAVAN-6554,"The fear of CAA and NRC hampers COVID-19 screening in Jaipur’s Ramganj hotspot",2020-04-23T10:44:08.100Z,https://caravanmagazine.in/health/ramganj-covid-hotspot-jaipur-caa-nrc
CARAVAN-6537,"History suggests deprivation will be an ally to COVID-19, and both must be stopped",2020-04-19T05:30:00.000Z,https://caravanmagazine.in/health/history-suggests-hunger-will-be-an-ally-to-covid-19-and-both-must-be-stopped
CARAVAN-6505,"The BCG vaccine, used against TB, “could be detrimental” in battling COVID-19: TB expert Kevin Urdahl",2020-04-10T06:54:25.893Z,https://caravanmagazine.in/health/bcg-vaccine-covid-immunity-caution
CARAVAN-6493,"Will approach Supreme Court to make centre pay states GST cess for COVID fight: Kerala FM Thomas Isaac",2020-04-06T17:44:12.095Z,https://caravanmagazine.in//economy/centre-supreme-court-cess-gst-thomas-isaac-kerala-covid
CARAVAN-6487,"Punjab’s NRIs face ostracisation, suspicion; unable to return home due to exorbitant ticket prices",2020-04-05T09:07:52.360Z,https://caravanmagazine.in/health/nri-punjab-suspicion-unable-to-return-home
CARAVAN-6482,"COVID-19: Indians in Afghanistan seek to be evacuated, doctors stress lack of PPE",2020-04-04T14:34:45.191Z,https://caravanmagazine.in/health/indians-in-afghanistan-seek-evacuation
CARAVAN-6477,"Indians from the northeast face intensified racism as coronavirus fears grow",2020-04-03T17:09:33.401Z,https://caravanmagazine.in//communities/coronavirus-increases-racism-against-indians-from-northeast
CARAVAN-6468,"Bundelkhand’s returning migrant workers face harsh crackdowns and unsanitary quarantine facilities",2020-04-02T10:57:32.825Z,https://caravanmagazine.in/health/bundelkhand-up-returning-workers-crackdown-unsanitary-quarantine-facilities
CARAVAN-6416,"Families feel the strain of the lockdown in northern Italy ",2020-04-01T08:00:00.000Z,https://caravanmagazine.in/health/families-strain-lockdown-northern-italy
CARAVAN-6457,"Police reeling under administrative failures and rising public anger amid coronavirus lockdown in Punjab",2020-03-30T15:11:22.323Z,https://caravanmagazine.in/health/police-reeling-under-administrative-failure-and-public-anger-in-punjab
CARAVAN-6450,"Nurses from Kerala are engaged in the UK’s fight against COVID",2020-03-29T08:58:33.254Z,https://caravanmagazine.in/health/kerala-nurses-united-kingdom-covid
CARAVAN-6449,"India’s under-supported force of healthcare professionals is crumbling under the pressure of COVID-19",2020-03-29T07:35:09.903Z,https://caravanmagazine.in/health/india-under-supported-health-care-workers-crumbling-pressure-covid-19
CARAVAN-6437,"In rural UP, government messaging on COVID absent; rumour and superstition thrive",2020-03-28T07:43:03.789Z,https://caravanmagazine.in/health/uttar-pradesh-covid-19-rumours-superstition
CARAVAN-6435,"COVID-19: Doctors of Lucknow hospital raise alarm over shortage of protective gear, express fear",2020-03-28T06:55:00.000Z,https://caravanmagazine.in/health/doctors-lucknow-hospital-raise-alarm-shortage-of-protective-gear-express-fear
CARAVAN-6422,"Kerala expands medical infrastructure to fight COVID; religious, social institutions offer facilities",2020-03-27T13:53:23.043Z,https://caravanmagazine.in/health/kerala-religious-social-institutions-facilities-covid
CARAVAN-6411,"Punjab health workers use diluted sanitisers, cloth masks; health minister says state is “prepared”",2020-03-27T10:08:00.000Z,https://caravanmagazine.in/health/punjab-health-workers-use-diluted-sanitisers-cloth-masks-health-minister-says-state-prepared
CARAVAN-6405,"The government is only playing catch-up with COVID-19: Dr V Ramana Dhara",2020-03-26T11:38:24.425Z,https://caravanmagazine.in/health/govt-only-playing-catch-up-with-covid-ramana-dhara
CARAVAN-6394,"This is war: A doctor on our failure to imagine the extent of the coronavirus outbreak ",2020-03-24T18:45:00.000Z,https://caravanmagazine.in/health/this-is-war-a-doctor-on-our-failure-to-imagine-the-extent-of-the-coronavirus-outbreak
CARAVAN-6373,"Amid Coronavirus fears, Gurudwaras remain open and administrators refuse to shut shrines",2020-03-19T09:50:29.098Z,https://caravanmagazine.in/health/gurudwaras-shrines-remain-open-amid-coronavirus-fears
CARAVAN-6366,"Lack of testing kits, understaffed hospitals: COVID exposes India’s crumbling healthcare system",2020-03-16T12:04:10.087Z,https://caravanmagazine.in/health/lack-testing-kits-understaffed-hospitals-covid-exposes-india-crumbling-healthcare-system
